label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,256,4096,4096,bf16,223.88,194.65,204.45,0.0384,0.0451,0.0420,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,918.60,880.75,887.55,0.0842,0.0879,0.0871,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,1094.34,1065.32,1064.85,0.1334,0.1371,0.1371,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1214.42,1180.29,1182.74,0.1768,0.1820,0.1816,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1370.42,1337.16,1337.21,0.2068,0.2120,0.2120,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1510.34,1479.25,1478.88,0.2332,0.2381,0.2381,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1449.56,1432.36,1432.12,0.2904,0.2939,0.2939,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1608.07,1584.89,1585.41,0.3045,0.3090,0.3088,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1531.22,1511.44,1513.49,0.3646,0.3695,0.3689,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1578.40,1557.09,1557.08,0.3973,0.4027,0.4027,NVIDIA GB200,2062,3996,1950,3996
