label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,256,4096,4096,bf16,262.91,230.47,239.64,0.0327,0.0382,0.0359,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,2304,4096,4096,bf16,923.16,887.35,882.70,0.0837,0.0872,0.0876,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,4352,4096,4096,bf16,1093.55,1076.40,1079.08,0.1335,0.1357,0.1353,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,6400,4096,4096,bf16,1211.35,1187.95,1189.98,0.1773,0.1808,0.1805,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,8448,4096,4096,bf16,1497.86,1463.05,1467.22,0.1892,0.1938,0.1932,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,10496,4096,4096,bf16,1423.42,1396.55,1400.24,0.2474,0.2522,0.2515,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,12544,4096,4096,bf16,1461.16,1441.43,1440.51,0.2881,0.2920,0.2922,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,14592,4096,4096,bf16,1532.38,1509.58,1513.74,0.3195,0.3244,0.3235,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,16640,4096,4096,bf16,1537.84,1520.56,1525.00,0.3631,0.3672,0.3661,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,18688,4096,4096,bf16,1564.66,1548.34,1552.57,0.4008,0.4050,0.4039,NVIDIA GB200,2062,3996,1950,3996
