label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu3,256,4096,4096,bf16,267.37,237.47,250.52,0.0321,0.0372,0.0343,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,2304,4096,4096,bf16,1174.49,1107.82,1117.19,0.0658,0.0700,0.0692,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,4352,4096,4096,bf16,1305.69,1251.21,1260.26,0.1118,0.1168,0.1159,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,6400,4096,4096,bf16,1370.69,1330.70,1333.91,0.1567,0.1615,0.1610,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,8448,4096,4096,bf16,1456.73,1428.46,1437.00,0.1946,0.1985,0.1973,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,10496,4096,4096,bf16,1507.24,1466.89,1467.94,0.2337,0.2401,0.2399,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,12544,4096,4096,bf16,1535.71,1509.16,1509.62,0.2741,0.2789,0.2788,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,14592,4096,4096,bf16,1697.64,1643.39,1654.89,0.2884,0.2981,0.2959,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,16640,4096,4096,bf16,1702.27,1663.72,1673.38,0.3280,0.3357,0.3337,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,18688,4096,4096,bf16,1699.25,1662.05,1661.45,0.3690,0.3774,0.3774,NVIDIA GB200,2062,3996,1950,3996
