label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu2,256,4096,4096,bf16,288.64,241.09,240.10,0.0298,0.0368,0.0358,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,2304,4096,4096,bf16,966.37,928.36,937.32,0.0800,0.0834,0.0825,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,4352,4096,4096,bf16,1187.46,1149.88,1152.52,0.1230,0.1270,0.1267,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,6400,4096,4096,bf16,1271.24,1250.56,1252.73,0.1689,0.1717,0.1714,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,8448,4096,4096,bf16,1455.77,1414.89,1420.87,0.1947,0.2004,0.1995,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,10496,4096,4096,bf16,1476.50,1453.66,1458.41,0.2385,0.2423,0.2415,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,12544,4096,4096,bf16,1653.26,1616.38,1624.97,0.2546,0.2605,0.2590,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,14592,4096,4096,bf16,1730.47,1692.69,1696.79,0.2829,0.2893,0.2886,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,16640,4096,4096,bf16,1628.10,1605.70,1605.33,0.3429,0.3478,0.3478,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,18688,4096,4096,bf16,1704.72,1687.88,1698.08,0.3678,0.3716,0.3693,NVIDIA GB200,2062,3996,1950,3996
