test,sum_gbps
host_to_device_memcpy_ce,845.65
device_to_host_memcpy_ce,773.95
host_to_device_bidirectional_memcpy_ce,671.63
device_to_host_bidirectional_memcpy_ce,669.35
device_to_device_memcpy_read_ce,9219.24
device_to_device_memcpy_write_ce,9302.27
device_to_device_bidirectional_memcpy_read_ce_read1,9161.27
device_to_device_bidirectional_memcpy_read_ce_read2,9161.96
device_to_device_bidirectional_memcpy_read_ce_total,18323.23
device_to_device_bidirectional_memcpy_write_ce_write1,9252.38
device_to_device_bidirectional_memcpy_write_ce_write2,9246.29
device_to_device_bidirectional_memcpy_write_ce_total,18498.67
all_to_host_memcpy_ce,735.57
all_to_host_bidirectional_memcpy_ce,349.56
host_to_all_memcpy_ce,708.13
host_to_all_bidirectional_memcpy_ce,348.99
all_to_one_write_ce,3179.51
all_to_one_read_ce,2635.6
one_to_all_write_ce,2862.38
one_to_all_read_ce,3180.02
host_to_device_memcpy_sm,845.92
device_to_host_memcpy_sm,773.51
host_to_device_bidirectional_memcpy_sm,662.24
device_to_host_bidirectional_memcpy_sm,666.58
device_to_device_memcpy_read_sm,9421.53
device_to_device_memcpy_write_sm,8606.75
device_to_device_bidirectional_memcpy_read_sm_read1,8080.48
device_to_device_bidirectional_memcpy_read_sm_read2,8084.17
device_to_device_bidirectional_memcpy_read_sm_total,16164.65
device_to_device_bidirectional_memcpy_write_sm_write1,8475.43
device_to_device_bidirectional_memcpy_write_sm_write2,8474.79
device_to_device_bidirectional_memcpy_write_sm_total,16950.23
all_to_host_memcpy_sm,703.05
all_to_host_bidirectional_memcpy_sm,333.53
host_to_all_memcpy_sm,686.39
host_to_all_bidirectional_memcpy_sm,330.65
all_to_one_write_sm,2873.47
all_to_one_read_sm,2862.93
one_to_all_write_sm,2921.01
one_to_all_read_sm,2873.26
host_device_latency_sm,2363.65
device_to_device_latency_sm,20765.46
device_local_copy,13093.17
