label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.850500118685886,5.883939971681684,6.052834971342236,1503.4771120017922,1494.9324881868222,1453.2187088949227,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.752008720301092,5.818820965941995,6.0609630309045315,1529.2210860465393,1511.662426751434,1451.269868725017,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.767432297579944,5.862788995727897,6.1545950011350214,1525.1315608678933,1500.3257031111893,1429.1912011409097,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.704925341997296,5.7893170160241425,5.907620012294501,1541.8419163971892,1519.366273752406,1488.940216855895,3,2062,3996,1950,3996
