model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai-community/gpt2,1,128,64,1,10,5.849,374.304,1122.912,20.593,19.746,39.632,2.383,2.447,2.592,5.364,30.000,166450.545,167350.000,10,0
openai-community/gpt2,1,128,64,2,20,12.356,790.782,2372.347,20.560,20.658,28.163,2.238,2.251,2.839,5.364,34.000,167156.182,168252.000,20,0
