label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu3,256,4096,4096,bf16,264.73,229.95,239.36,0.0324,0.0388,0.0359,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,2304,4096,4096,bf16,940.05,885.41,890.17,0.0822,0.0875,0.0868,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,4352,4096,4096,bf16,1078.05,1064.71,1071.35,0.1355,0.1372,0.1363,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,6400,4096,4096,bf16,1367.34,1325.20,1344.33,0.1571,0.1623,0.1597,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,8448,4096,4096,bf16,1425.55,1336.92,1339.25,0.1988,0.2126,0.2117,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,10496,4096,4096,bf16,1190.98,1158.41,1165.63,0.2957,0.3041,0.3021,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,12544,4096,4096,bf16,1251.03,1223.05,1232.16,0.3364,0.3443,0.3416,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,14592,4096,4096,bf16,1600.84,1535.59,1547.18,0.3059,0.3192,0.3165,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,16640,4096,4096,bf16,1467.48,1443.99,1446.50,0.3805,0.3867,0.3860,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,18688,4096,4096,bf16,1662.91,1624.91,1630.81,0.3771,0.3860,0.3845,NVIDIA GB200,2062,3996,1950,3996
