label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu1,256,4096,4096,bf16,251.34,228.58,234.54,0.0342,0.0383,0.0366,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,2304,4096,4096,bf16,921.75,887.50,890.33,0.0839,0.0872,0.0868,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,4352,4096,4096,bf16,1116.02,1089.79,1089.78,0.1308,0.1340,0.1340,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,6400,4096,4096,bf16,1219.50,1183.35,1186.30,0.1761,0.1815,0.1810,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,8448,4096,4096,bf16,1367.03,1336.31,1337.72,0.2074,0.2122,0.2119,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,10496,4096,4096,bf16,1406.32,1380.09,1385.52,0.2504,0.2553,0.2542,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,12544,4096,4096,bf16,1441.46,1423.20,1427.23,0.2920,0.2958,0.2949,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,14592,4096,4096,bf16,1514.78,1490.82,1488.48,0.3232,0.3285,0.3289,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,16640,4096,4096,bf16,1562.35,1524.27,1522.47,0.3574,0.3663,0.3667,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,18688,4096,4096,bf16,1602.01,1585.28,1585.61,0.3914,0.3956,0.3955,NVIDIA GB200,2062,3996,1950,3996
