run_id,label,file_size,runtime_s,numjobs,iodepth,seq_write_bw_mb_s,seq_read_bw_mb_s,rand_read_iops,rand_write_iops,rand_read_p99_lat_ms,rand_write_p99_lat_ms
2026-02-24_localhost_fullsuite_r4,localhost,8G,15,4,64,724.3102750778198,1418.5162963867188,55277.440853,31922.118588,,
2026-02-24_localhost_fullsuite_r4,localhost,8G,15,4,64,721.655668258667,1463.110933303833,70906.558251,38139.522511,,
