model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai-community/gpt2,1,128,64,1,10,8.350,534.373,1603.118,15.460,13.746,29.458,1.653,1.650,1.731,15.111,46.000,166132.444,167188.000,10,0
openai-community/gpt2,1,128,64,2,20,16.037,1026.396,3079.188,16.007,16.085,18.870,1.722,1.600,2.636,5.111,38.000,165953.556,166980.000,20,0
