label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.628967656521127,5.765355017501861,5.91946899658069,1562.6476396640467,1525.681071765007,1485.9598094506377,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.942137386882678,6.038030027411878,6.167982995975763,1480.291088796677,1456.7819275947404,1426.0890517932557,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.6081888161133975,5.654154054354876,6.10004598274827,1568.4373887225668,1555.6868344316115,1441.9715928510218,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.620657459367067,5.664939002599567,6.189551029819995,1564.9580295182254,1552.7251075733714,1421.1197193189323,3,2062,3996,1950,3996
