label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu2,256,4096,4096,bf16,277.60,242.71,250.88,0.0309,0.0361,0.0342,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,2304,4096,4096,bf16,850.68,805.06,809.49,0.0909,0.0961,0.0955,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,4352,4096,4096,bf16,1002.73,971.42,973.94,0.1456,0.1504,0.1499,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,6400,4096,4096,bf16,1082.58,1063.68,1064.21,0.1984,0.2019,0.2018,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,8448,4096,4096,bf16,1311.19,1279.33,1277.08,0.2162,0.2216,0.2220,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,10496,4096,4096,bf16,1343.98,1313.34,1321.39,0.2620,0.2683,0.2665,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,12544,4096,4096,bf16,1537.68,1498.93,1510.23,0.2737,0.2810,0.2787,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,14592,4096,4096,bf16,1461.95,1434.70,1437.10,0.3349,0.3413,0.3407,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,16640,4096,4096,bf16,1511.72,1478.71,1478.98,0.3693,0.3776,0.3775,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,18688,4096,4096,bf16,1550.30,1531.62,1536.74,0.4045,0.4095,0.4080,NVIDIA GB200,2062,3996,1950,3996
