operation,bandwidth_gbps,time_ms,bytes_per_iter,total_bytes
copy,5583.994515904046,15.383135795593262,2147483648.0,85899345920.0
scale,6232.843024017602,13.78172779083252,2147483648.0,85899345920.0
add,6182.679308656927,20.840320587158203,3221225472.0,128849018880.0
triad,6191.730318157977,20.809856414794922,3221225472.0,128849018880.0
